Quantify Compound Summary Report 

Printed Tue May 19 17:18:28 2026

Compound 1:  SA

	#	Name	Type	Std. Conc	RT	Height	Area	IS Height	IS Area	Response	Primary Flags	ng/ml	%Dev	%Rec
1	1	260508_phytohormones_AKirchhofer_MeOH50_1			5.21	106066	13223				MM			
2	2	260508_phytohormones_AKirchhofer_MeOH50_2												
3	3	260508_phytohormones_AKirchhofer_std_0_ngml						886198	42319					
4	4	260508_phytohormones_AKirchhofer_std_005_ngml	Standard	0.050	5.26	147266	14023	894631	43495	0.32242	MMX	0.36387	627.7	727.7
5	5	260508_phytohormones_AKirchhofer_std_01_ngml	Standard	0.100	5.26	150585	13559	894141	42737	0.31727	MMX	0.34227	242.3	342.3
6	6	260508_phytohormones_AKirchhofer_std_05_ngml	Standard	0.500	5.27	237517	15988	902886	42428	0.37683	bb	0.59219	18.4	118.4
7	7	260508_phytohormones_AKirchhofer_std_1_ngml	Standard	1.000	5.26	346399	22525	889917	42424	0.53094	MMX	1.23886	23.9	123.9
8	8	260508_phytohormones_AKirchhofer_std_2_ngml	Standard	2.000	5.25	514265	27704	906295	43152	0.64202	bb	1.70497	-14.8	85.2
9	9	260508_phytohormones_AKirchhofer_std_5_ngml_1	Standard	5.000	5.26	1138526	59710	888314	42686	1.39881	bb	4.88066	-2.4	97.6
10	10	260508_phytohormones_AKirchhofer_std_10_ngml	Standard	10.000	5.27	2126048	107828	902543	42270	2.55091	bb	9.71514	-2.8	97.2
11	11	260508_phytohormones_AKirchhofer_std_50_ngml	Standard	50.000	5.26	10673078	516212	891778	41712	12.37556	bb	50.94174	1.9	101.9
12	12	260508_phytohormones_AKirchhofer_std_100_ngml	Standard	100.000	5.25	20487198	997042	882479	41566	23.98681	bb	99.66529	-0.3	99.7
13	13	260508_phytohormones_AKirchhofer_IPA_2			5.27	36717	1842				bb			
14	14	260508_phytohormones_AKirchhofer_MeOH50_3			5.22	55912	4135				db			
15	15	260508_phytohormones_AKirchhofer_MeOH50_4			5.24	60452	4726				db			
16	16	260508_phytohormones_AKirchhofer_Blanc												
17	17	260508_phytohormones_AKirchhofer_B1			5.26	4947118	224553	503410	22952	9.78341	bb	40.06444		
18	18	260508_phytohormones_AKirchhofer_B2			5.27	4981447	225185	554791	26227	8.58606	bb	35.04009		
19	19	260508_phytohormones_AKirchhofer_B3			5.27	5454817	252850	469186	21245	11.90135	bb	48.95182		
20	20	260508_phytohormones_AKirchhofer_C1			5.27	1356220	62449	539227	23949	2.60765	db	9.95324		
21	21	260508_phytohormones_AKirchhofer_C2			5.26	1733430	79161	364937	16147	4.90266	bb	19.58364		
22	22	260508_phytohormones_AKirchhofer_C3			5.25	770175	35144	363279	15652	2.24534	bb	8.43291		
23	23	260508_phytohormones_AKirchhofer_std_5_ngml_2	QC	5.000	5.25	1248424	62652	910726	42858	1.46185	bb	5.14517	2.9	102.9
24	24	260508_phytohormones_AKirchhofer_S1			5.25	2655055	121991	524913	23558	5.17838	bb	20.74063		
25	25	260508_phytohormones_AKirchhofer_S2			5.25	1160920	53878	538271	24246	2.22212	bb	8.33547		
26	26	260508_phytohormones_AKirchhofer_S3			5.25	817669	39076	603066	26851	1.45532	bd	5.11779		
27	27	260508_phytohormones_AKirchhofer_U1			5.25	2071249	93723	444684	20781	4.51006	bb	17.93623		
28	28	260508_phytohormones_AKirchhofer_U2			5.25	1807336	83285	662688	29855	2.78966	bb	10.71701		
29	29	260508_phytohormones_AKirchhofer_U3			5.25	1656742	74169	387692	17974	4.12652	bb	16.32679		
30	30	260508_phytohormones_AKirchhofer_std_5_ngml_3	QC	5.000	5.25	1230930	61274	944357	44547	1.37548	bb	4.78276	-4.3	95.7
31	31	260508_phytohormones_AKirchhofer_BC1			5.25	2294604	106940	349369	16503	6.48012	MM	26.20307		
32	32	260508_phytohormones_AKirchhofer_BC3			5.25	3994672	179547	428485	19342	9.28297	bb	37.96449		
